hhid,tipo,tcuerda,p16a07a,p16a07b
2951.0,agricola,cuerda/tarea de 25 varas por lado,6.0,cuerda
2952.0,agricola,cuerda/tarea de 25 varas por lado,4.0,cuerda
2952.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
2953.0,agricola,cuerda/tarea de 25 varas por lado,15.0,cuerda
2954.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,20.0,cuerda
2954.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
2954.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
2955.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
2956.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
2957.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
2958.0,agricola,cuerda/tarea de 25 varas por lado,5.0,cuerda
2959.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
2959.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
2959.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
2963.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
2964.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
2964.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
2965.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
2965.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
2967.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
2968.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,0.5,cuerda
2969.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
2970.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
2972.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
2974.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.5,cuerda
2975.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,12.0,cuerda
2976.0,agricola,cuerda/tarea de 25 varas por lado,7.0,cuerda
2977.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
2978.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
2980.0,agricola,cuerda/tarea de 25 varas por lado,7.0,cuerda
2981.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
2982.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
2983.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
2983.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
2984.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
2985.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,12.5,cuerda
2988.0,agricola,cuerda/tarea de 25 varas por lado,5.0,cuerda
2989.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,0.5,cuerda
2990.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
2993.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
2994.0,agricola,cuerda/tarea de 25 varas por lado,16.0,cuerda
2997.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
2997.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
2998.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
2998.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,20.0,cuerda
2998.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3010.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3013.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,8.0,cuerda
3014.0,agricola,cuerda/tarea de 25 varas por lado,8.0,cuerda
3014.0,agricola,cuerda/tarea de 25 varas por lado,6.0,cuerda
3014.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3015.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3019.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3020.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3022.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3047.0,agricola,cuerda/tarea de 25 varas por lado,8.0,cuerda
3067.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
3068.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3070.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3075.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,40.0,cuerda
3096.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3096.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3104.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3105.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3107.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3107.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3108.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3109.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3110.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3112.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3112.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3114.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
3115.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3115.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3116.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3117.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3117.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3117.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3120.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3122.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
3124.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,7.0,cuerda
3124.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3125.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3126.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3127.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3128.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.5,cuerda
3129.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3129.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3130.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,7.0,cuerda
3130.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3131.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3132.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3133.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3134.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3136.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3137.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
3138.0,agricola,cuerda/tarea de 25 varas por lado,4.0,cuerda
3138.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3139.0,agricola,cuerda/tarea de 25 varas por lado,6.0,cuerda
3140.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
3141.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3143.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3144.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3145.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3146.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3186.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
3191.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3222.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,manzana
3223.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,manzana
3224.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,12.0,cuerda
3225.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,manzana
3226.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,4.0,cuerda
3227.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,1.0,hectarea
3240.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,manzana
3241.0,agricola,cuerda/tarea de 25 varas por lado,7.0,cuerda
3244.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,5.0,manzana
3248.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,15.0,cuerda
3252.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,15.0,cuerda
3253.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,manzana
3254.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,15.0,cuerda
3255.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,3.0,manzana
3257.0,mixta (agricola y pecuaria),cuerda/tarea de 40 varas por lado,15.0,cuerda
3258.0,agricola,cuerda/tarea de 40 varas por lado,10.0,cuerda
3270.0,agricola,cuerda/tarea de 40 varas por lado,1.5,cuerda
3316.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,12.0,cuerda
3346.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,4.0,manzana
3347.0,agricola,cuerda/tarea de 20 varas por lado,4.0,manzana
3351.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,20.0,manzana
3354.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,4.0,manzana
3374.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,140.0,cuerda
3389.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,7.0,cuerda
3404.0,agricola,cuerda/tarea de 20 varas por lado,1.0,cuerda
3404.0,agricola,cuerda/tarea de 20 varas por lado,5.0,cuerda
3406.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3408.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3409.0,agricola,cuerda/tarea de 25 varas por lado,6.0,cuerda
3414.0,agricola,cuerda/tarea de 20 varas por lado,2.0,cuerda
3415.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,15.0,cuerda
3418.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,1.0,cuerda
3419.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,20.0,cuerda
3421.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,2.0,cuerda
3421.0,mixta (agricola y pecuaria),cuerda/tarea de 20 varas por lado,3.0,cuerda
3425.0,agricola,cuerda/tarea de 20 varas por lado,6.0,cuerda
3431.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3432.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3433.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3434.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3437.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3441.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3442.0,agricola,cuerda/tarea de 25 varas por lado,2.5,cuerda
3443.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3443.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3443.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3444.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3444.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3444.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3445.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3446.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3447.0,agricola,cuerda/tarea de 25 varas por lado,5.0,cuerda
3447.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3449.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
3451.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3451.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3452.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3456.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3459.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3460.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3460.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3460.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3462.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3462.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3462.0,agricola,cuerda/tarea de 25 varas por lado,1.0,cuerda
3463.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3464.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3464.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3465.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,20.0,cuerda
3467.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3467.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3468.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,7.0,cuerda
3468.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3468.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3469.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3470.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3470.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3471.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3471.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3471.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3472.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3472.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,7.0,cuerda
3472.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3473.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3474.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3475.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3476.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3477.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3478.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3479.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3480.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3480.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3480.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3481.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3481.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3481.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3482.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3482.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3483.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3485.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3485.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3486.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3486.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3487.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3488.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3488.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3488.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3489.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.5,cuerda
3489.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3490.0,agricola,cuerda/tarea de 25 varas por lado,2.0,cuerda
3491.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,12.0,cuerda
3492.0,agricola,cuerda/tarea de 25 varas por lado,15.0,cuerda
3493.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3494.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,50.0,cuerda
3495.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,30.0,cuerda
3496.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,50.0,cuerda
3497.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,22.0,cuerda
3497.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
3498.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3498.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3499.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,7.0,cuerda
3500.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3500.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,8.0,cuerda
3501.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,25.0,cuerda
3501.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,8.0,cuerda
3501.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
3502.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3502.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3503.0,agricola,cuerda/tarea de 25 varas por lado,10.0,cuerda
3504.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,30.0,cuerda
3504.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3504.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3505.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,8.0,cuerda
3506.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,8.0,cuerda
3506.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,14.0,cuerda
3507.0,agricola,cuerda/tarea de 25 varas por lado,10.0,cuerda
3508.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3509.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3509.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
3510.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3510.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3510.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,8.0,cuerda
3511.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3511.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,20.0,cuerda
3511.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3511.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,20.0,cuerda
3512.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3513.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,25.0,cuerda
3513.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3514.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,30.0,cuerda
3515.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3515.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
3516.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3517.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3517.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,8.0,cuerda
3518.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,150.0,cuerda
3519.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3520.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,42.0,cuerda
3521.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
3522.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,1.0,cuerda
3522.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3523.0,agricola,cuerda/tarea de 25 varas por lado,6.0,cuerda
3524.0,agricola,cuerda/tarea de 25 varas por lado,18.0,cuerda
3525.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3526.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3527.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,40.0,cuerda
3527.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,7.0,cuerda
3528.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3529.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3530.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3532.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3532.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3532.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3533.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3534.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3534.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,25.0,cuerda
3535.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3536.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,18.0,cuerda
3537.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3537.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3538.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3538.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
3539.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3540.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3541.0,agricola,cuerda/tarea de 25 varas por lado,8.0,cuerda
3542.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3542.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3543.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3544.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,20.0,cuerda
3545.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,2.0,cuerda
3546.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3547.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,16.0,cuerda
3548.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3549.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,30.0,cuerda
3550.0,agricola,cuerda/tarea de 25 varas por lado,4.0,cuerda
3550.0,agricola,cuerda/tarea de 25 varas por lado,3.0,cuerda
3550.0,agricola,cuerda/tarea de 25 varas por lado,4.0,cuerda
3551.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,6.0,cuerda
3552.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,15.0,cuerda
3553.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,30.0,cuerda
3554.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3554.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3555.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,16.0,cuerda
3555.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,4.0,cuerda
3555.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,27.0,cuerda
3556.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3557.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3558.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,10.0,cuerda
3559.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,3.0,cuerda
3560.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
3561.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,20.0,cuerda
3562.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,7.0,cuerda
3562.0,mixta (agricola y pecuaria),cuerda/tarea de 25 varas por lado,5.0,cuerda
