hhid,p10d01,p10d03,p10d04,p10d06,p10e05a
3527,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3528,no,missing,missing,missing,missing
3529,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3530,no,missing,missing,missing,missing
3531,missing,missing,missing,missing,missing
3532,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3533,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3534,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3535,si, trab. de los servicios y vend. de comercios y mercados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3536,no,missing,missing,missing,missing
3537,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3538,no,missing,missing,missing,missing
3539,missing,missing,missing,missing,missing
3540,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3541,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3542,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3543,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3544,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3545,missing,missing,missing,missing,missing
3546,missing,missing,missing,missing,missing
3547,no,missing,missing,missing,missing
3548,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3549,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3550,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3551,missing,missing,missing,missing,missing
3552,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3553,no,missing,missing,missing,missing
3554,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3555,no,missing,missing,missing,missing
3556,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3557,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3558,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3559,no,missing,missing,missing,missing
3560,no,missing,missing,missing,missing
3561,no,missing,missing,missing,missing
3562,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3563,no,missing,missing,missing,missing
3564,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3565,missing,missing,missing,missing,missing
3566,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3567,no,missing,missing,missing,missing
3568,no,missing,missing,missing,missing
3569,no,missing,missing,missing,missing
3570,no,missing,missing,missing,missing
3571,no,missing,missing,missing,missing
3572,si, trabajadores no calificados, comercio,como jornalero o peon,missing
3573,missing,missing,missing,missing,missing
3574,no,missing,missing,missing,missing
3575,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3576,no,missing,missing,missing,missing
3577,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3578,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3579,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3580,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3581,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3582,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3583,si, trabajadores no calificados," servicios de salud, sociales y personales",como jornalero o peon,missing
3584,missing,missing,missing,missing,missing
3585,si, operadores de instalaciones y maquinas y montadores, industria manufacturera,como empleado u obrero de una empresa privada,missing
3586,no,missing,missing,missing,missing
3587,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3588,no,missing,missing,missing,missing
3589,no,missing,missing,missing,missing
3590,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,missing
3591,missing,missing,missing,missing,missing
3592,no,missing,missing,missing,missing
3593,missing,missing,missing,missing,missing
3594,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3595,no,missing,missing,missing,missing
3596,no,missing,missing,missing,missing
3597,missing,missing,missing,missing,missing
3598,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3599,no,missing,missing,missing,missing
3600,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3601,si, agricultores y trab. calificados agropecuarios y pesqueros," transporte, almacenamiento y comunicaciones",trabajador por su cuenta o en su finca,missing
3602,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3603,si, trabajadores no calificados," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3604,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3605,no,missing,missing,missing,missing
3606,si, trabajadores no calificados, construccion,como empleado u obrero de una empresa privada,missing
3607,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3608,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3609,no,missing,missing,missing,missing
3610,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3611,si, agricultores y trab. calificados agropecuarios y pesqueros," transporte, almacenamiento y comunicaciones",trabajador por su cuenta o en su finca,missing
3612,no,missing,missing,missing,missing
3613,no,missing,missing,missing,missing
3614,missing,missing,missing,missing,missing
3615,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3616,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado de gobierno,missing
3617,si, trabajadores no calificados, comercio,como empleado u obrero de una empresa privada,missing
3618,si, agricultores y trab. calificados agropecuarios y pesqueros, comercio,como empleado u obrero de una empresa privada,missing
3619,no,missing,missing,missing,missing
3620,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3621,no,missing,missing,missing,missing
3622,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3623,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado (a) domestico (a),missing
3624,no,missing,missing,missing,missing
3625,no,missing,missing,missing,missing
3626,missing,missing,missing,missing,missing
3627,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3628,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3629,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3630,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3631,no,missing,missing,missing,missing
3632,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3633,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
3634,no,missing,missing,missing,missing
3635,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3636,no,missing,missing,missing,missing
3637,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como empleado u obrero de una empresa privada,missing
3638,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
3639,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
3640,no,missing,missing,missing,missing
3641,missing,missing,missing,missing,missing
3642,no,missing,missing,missing,missing
3643,no,missing,missing,missing,missing
3644,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3645,missing,missing,missing,missing,missing
3646,missing,missing,missing,missing,missing
3647,no,missing,missing,missing,missing
3648,missing,missing,missing,missing,missing
3649,no,missing,missing,missing,missing
3650,no,missing,missing,missing,missing
3651,no,missing,missing,missing,missing
3652,missing,missing,missing,missing,missing
3653,missing,missing,missing,missing,missing
3654,no,missing,missing,missing,missing
3655,no,missing,missing,missing,missing
3656,no,missing,missing,missing,missing
3657,no,missing,missing,missing,missing
3658,no,missing,missing,missing,missing
3659,no,missing,missing,missing,missing
3660,no,missing,missing,missing,missing
3661,missing,missing,missing,missing,missing
3662,no,missing,missing,missing,missing
3663,no,missing,missing,missing,missing
3664,no,missing,missing,missing,missing
3665,no,missing,missing,missing,missing
3666,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
3667,no,missing,missing,missing,missing
3668,si, agricultores y trab. calificados agropecuarios y pesqueros," transporte, almacenamiento y comunicaciones",trabajador por su cuenta o en su finca,missing
3669,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como jornalero o peon,missing
3670,no,missing,missing,missing,missing
3671,no,missing,missing,missing,missing
3672,no,missing,missing,missing,missing
3673,no,missing,missing,missing,missing
3674,no,missing,missing,missing,missing
3675,no,missing,missing,missing,missing
3676,no,missing,missing,missing,missing
3677,no,missing,missing,missing,missing
3678,no,missing,missing,missing,missing
3679,no,missing,missing,missing,missing
3680,no,missing,missing,missing,missing
3681,no,missing,missing,missing,missing
3682,no,missing,missing,missing,missing
3683,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3684,no,missing,missing,missing,missing
3685,no,missing,missing,missing,missing
3686,si, personal directivo de la admon publica y de las empresas," transporte, almacenamiento y comunicaciones",trabajador por su cuenta o en su finca,missing
3687,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
3688,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3689,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
3690,no,missing,missing,missing,missing
3691,no,missing,missing,missing,missing
3692,no,missing,missing,missing,missing
3693,missing,missing,missing,missing,missing
3694,no,missing,missing,missing,missing
3695,no,missing,missing,missing,missing
3696,missing,missing,missing,missing,missing
3697,missing,missing,missing,missing,missing
3698,missing,missing,missing,missing,missing
3699,missing,missing,missing,missing,missing
3700,si, tecnicos y profesionales de nivel medio, servicios financieros,como empleado u obrero de una empresa privada,missing
3701,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
3702,missing,missing,missing,missing,missing
3703,no,missing,missing,missing,missing
3704,no,missing,missing,missing,missing
3705,missing,missing,missing,missing,missing
