hhid,p10d01,p10d03,p10d04,p10d06,p10e05a
1,missing,missing,missing,missing,missing
2,no,missing,missing,missing,missing
3,no,missing,missing,missing,missing
4,missing,missing,missing,missing,missing
5,no,missing,missing,missing,missing
6,no,missing,missing,missing,missing
7,missing,missing,missing,missing,missing
8,no,missing,missing,missing,missing
9,no,missing,missing,missing,missing
10,no,missing,missing,missing,missing
11,no,missing,missing,missing,missing
12,no,missing,missing,missing,missing
13,no,missing,missing,missing,missing
14,missing,missing,missing,missing,missing
15,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,missing
16,missing,missing,missing,missing,missing
17,missing,missing,missing,missing,missing
18,no,missing,missing,missing,missing
19,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
20,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,missing
21,missing,missing,missing,missing,missing
22,no,missing,missing,missing,missing
23,no,missing,missing,missing,missing
24,no,missing,missing,missing,missing
25,no,missing,missing,missing,missing
26,no,missing,missing,missing,missing
27,missing,missing,missing,missing,missing
28,no,missing,missing,missing,missing
29,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,missing
30,no,missing,missing,missing,missing
31,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
32,no,missing,missing,missing,missing
33,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,missing
34,si, personal directivo de la admon publica y de las empresas, industria manufacturera,trabajador por su cuenta o en su finca,missing
35,missing,missing,missing,missing,missing
36,no,missing,missing,missing,missing
37,si, empleados de oficina," servicios de salud, sociales y personales",como empleado de gobierno,missing
38,no,missing,missing,missing,missing
39,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
40,no,missing,missing,missing,missing
41,no,missing,missing,missing,missing
42,no,missing,missing,missing,missing
43,no,missing,missing,missing,missing
44,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
45,no,missing,missing,missing,missing
46,no,missing,missing,missing,missing
47,missing,missing,missing,missing,missing
48,si," profesionales, cientificos  e  intelectuales", construccion,como empleado u obrero de una empresa privada,missing
49,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado de gobierno,missing
50,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
51,missing,missing,missing,missing,missing
52,no,missing,missing,missing,missing
53,no,missing,missing,missing,missing
54,no,missing,missing,missing,missing
55,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,missing
56,no,missing,missing,missing,missing
57,si, trabajadores no calificados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
58,missing,missing,missing,missing,missing
59,no,missing,missing,missing,missing
60,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,missing
61,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
62,no,missing,missing,missing,missing
63,no,missing,missing,missing,missing
64,missing,missing,missing,missing,missing
65,no,missing,missing,missing,missing
66,no,missing,missing,missing,missing
67,missing,missing,missing,missing,missing
68,no,missing,missing,missing,missing
69,no,missing,missing,missing,missing
70,no,missing,missing,missing,missing
71,missing,missing,missing,missing,missing
72,no,missing,missing,missing,missing
73,missing,missing,missing,missing,missing
74,no,missing,missing,missing,missing
75,no,missing,missing,missing,missing
76,si, tecnicos y profesionales de nivel medio, servicios financieros,como empleado de gobierno,missing
77,si," profesionales, cientificos  e  intelectuales", servicios financieros,trabajador por su cuenta o en su finca,missing
78,no,missing,missing,missing,missing
79,missing,missing,missing,missing,missing
80,no,missing,missing,missing,missing
81,no,missing,missing,missing,missing
82,no,missing,missing,missing,missing
83,missing,missing,missing,missing,missing
84,si, operadores de instalaciones y maquinas y montadores," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
85,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado u obrero de una empresa privada,missing
86,no,missing,missing,missing,missing
87,no,missing,missing,missing,missing
88,missing,missing,missing,missing,missing
89,no,missing,missing,missing,missing
90,no,missing,missing,missing,missing
91,no,missing,missing,missing,missing
92,missing,missing,missing,missing,missing
93,no,missing,missing,missing,missing
94,no,missing,missing,missing,missing
95,missing,missing,missing,missing,missing
96,no,missing,missing,missing,missing
97,missing,missing,missing,missing,missing
98,no,missing,missing,missing,missing
99,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,missing
100,no,missing,missing,missing,missing
101,no,missing,missing,missing,missing
102,no,missing,missing,missing,missing
103,si," profesionales, cientificos  e  intelectuales"," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
104,no,missing,missing,missing,missing
105,no,missing,missing,missing,missing
106,no,missing,missing,missing,missing
107,si, trab. de los servicios y vend. de comercios y mercados," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
108,no,missing,missing,missing,missing
109,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,missing
110,no,missing,missing,missing,missing
111,missing,missing,missing,missing,missing
112,no,missing,missing,missing,missing
113,no,missing,missing,missing,missing
114,no,missing,missing,missing,missing
115,no,missing,missing,missing,missing
116,no,missing,missing,missing,missing
117,missing,missing,missing,missing,missing
118,no,missing,missing,missing,missing
119,missing,missing,missing,missing,missing
120,no,missing,missing,missing,missing
121,missing,missing,missing,missing,missing
122,missing,missing,missing,missing,missing
123,no,missing,missing,missing,missing
124,no,missing,missing,missing,missing
125,missing,missing,missing,missing,missing
126,no,missing,missing,missing,missing
127,no,missing,missing,missing,missing
128,no,missing,missing,missing,missing
129,no,missing,missing,missing,missing
130,missing,missing,missing,missing,missing
131,missing,missing,missing,missing,missing
132,no,missing,missing,missing,missing
133,no,missing,missing,missing,missing
134,no,missing,missing,missing,missing
135,missing,missing,missing,missing,missing
136,no,missing,missing,missing,missing
137,no,missing,missing,missing,missing
138,no,missing,missing,missing,missing
139,no,missing,missing,missing,missing
140,no,missing,missing,missing,missing
141,no,missing,missing,missing,missing
142,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,missing
143,no,missing,missing,missing,missing
144,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
145,no,missing,missing,missing,missing
146,no,missing,missing,missing,missing
147,missing,missing,missing,missing,missing
148,missing,missing,missing,missing,missing
149,missing,missing,missing,missing,missing
150,no,missing,missing,missing,missing
151,no,missing,missing,missing,missing
152,no,missing,missing,missing,missing
153,missing,missing,missing,missing,missing
154,missing,missing,missing,missing,missing
155,no,missing,missing,missing,missing
156,missing,missing,missing,missing,missing
157,si," profesionales, cientificos  e  intelectuales", industria manufacturera,como empleado u obrero de una empresa privada,missing
158,no,missing,missing,missing,missing
159,missing,missing,missing,missing,missing
160,missing,missing,missing,missing,missing
161,missing,missing,missing,missing,missing
162,no,missing,missing,missing,missing
163,missing,missing,missing,missing,missing
164,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
165,no,missing,missing,missing,missing
166,missing,missing,missing,missing,missing
167,no,missing,missing,missing,missing
168,missing,missing,missing,missing,missing
169,no,missing,missing,missing,missing
170,missing,missing,missing,missing,missing
171,no,missing,missing,missing,missing
172,missing,missing,missing,missing,missing
173,no,missing,missing,missing,missing
174,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
175,no,missing,missing,missing,missing
176,missing,missing,missing,missing,missing
177,no,missing,missing,missing,missing
178,no,missing,missing,missing,missing
179,no,missing,missing,missing,no
180,no,missing,missing,missing,missing
181,no,missing,missing,missing,missing
182,no,missing,missing,missing,no
183,missing,missing,missing,missing,missing
184,no,missing,missing,missing,missing
185,si, trabajadores no calificados," servicios de salud, sociales y personales",como dueÑo o patron de empresa o finca o como socio activo,missing
186,no,missing,missing,missing,missing
187,no,missing,missing,missing,missing
188,no,missing,missing,missing,missing
189,si, personal directivo de la admon publica y de las empresas," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
190,no,missing,missing,missing,missing
191,no,missing,missing,missing,missing
192,no,missing,missing,missing,missing
193,no,missing,missing,missing,missing
194,no,missing,missing,missing,missing
195,no,missing,missing,missing,missing
196,missing,missing,missing,missing,missing
197,missing,missing,missing,missing,missing
198,no,missing,missing,missing,missing
199,no,missing,missing,missing,missing
200,missing,missing,missing,missing,missing
201,no,missing,missing,missing,missing
202,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,missing
203,no,missing,missing,missing,missing
204,no,missing,missing,missing,missing
205,no,missing,missing,missing,missing
206,no,missing,missing,missing,missing
207,missing,missing,missing,missing,missing
208,no,missing,missing,missing,missing
209,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
210,no,missing,missing,missing,missing
211,missing,missing,missing,missing,missing
212,missing,missing,missing,missing,missing
213,si," profesionales, cientificos  e  intelectuales"," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
214,no,missing,missing,missing,missing
215,no,missing,missing,missing,missing
216,no,missing,missing,missing,missing
217,no,missing,missing,missing,missing
218,no,missing,missing,missing,missing
219,no,missing,missing,missing,missing
220,no,missing,missing,missing,missing
221,missing,missing,missing,missing,missing
222,no,missing,missing,missing,missing
223,no,missing,missing,missing,missing
224,no,missing,missing,missing,missing
225,no,missing,missing,missing,missing
226,no,missing,missing,missing,missing
227,no,missing,missing,missing,missing
228,no,missing,missing,missing,missing
229,no,missing,missing,missing,missing
230,no,missing,missing,missing,missing
231,missing,missing,missing,missing,missing
232,si, trabajadores no calificados, comercio,como jornalero o peon,missing
233,no,missing,missing,missing,missing
234,no,missing,missing,missing,missing
235,no,missing,missing,missing,missing
236,no,missing,missing,missing,missing
237,no,missing,missing,missing,missing
238,no,missing,missing,missing,missing
239,missing,missing,missing,missing,missing
240,no,missing,missing,missing,missing
241,no,missing,missing,missing,missing
242,no,missing,missing,missing,missing
243,no,missing,missing,missing,missing
244,no,missing,missing,missing,missing
245,missing,missing,missing,missing,missing
246,no,missing,missing,missing,missing
247,no,missing,missing,missing,missing
248,si, empleados de oficina, industria manufacturera,como empleado u obrero de una empresa privada,missing
249,si, personal directivo de la admon publica y de las empresas," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
250,no,missing,missing,missing,missing
251,no,missing,missing,missing,missing
252,no,missing,missing,missing,missing
253,no,missing,missing,missing,missing
254,missing,missing,missing,missing,missing
255,no,missing,missing,missing,missing
256,no,missing,missing,missing,missing
257,no,missing,missing,missing,missing
258,si, operadores de instalaciones y maquinas y montadores, comercio,como empleado u obrero de una empresa privada,missing
259,no,missing,missing,missing,missing
260,missing,missing,missing,missing,missing
261,no,missing,missing,missing,missing
262,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como dueÑo o patron de empresa o finca o como socio activo,missing
263,no,missing,missing,missing,missing
264,no,missing,missing,missing,missing
265,missing,missing,missing,missing,missing
266,si, operarios y artesanos de artes mecanicas y otros oficios, comercio,como empleado u obrero de una empresa privada,missing
267,missing,missing,missing,missing,missing
268,no,missing,missing,missing,missing
269,missing,missing,missing,missing,missing
270,missing,missing,missing,missing,missing
271,no,missing,missing,missing,missing
272,no,missing,missing,missing,missing
273,no,missing,missing,missing,missing
274,si, tecnicos y profesionales de nivel medio," agricultura, ganaderia, caza y pesca",como empleado u obrero de una empresa privada,missing
275,no,missing,missing,missing,missing
276,missing,missing,missing,missing,missing
277,si, operarios y artesanos de artes mecanicas y otros oficios," servicios de salud, sociales y personales",como dueÑo o patron de empresa o finca o como socio activo,missing
278,no,missing,missing,missing,missing
279,no,missing,missing,missing,missing
280,no,missing,missing,missing,missing
281,no,missing,missing,missing,missing
282,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",trabajador por su cuenta o en su finca,missing
283,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
284,no,missing,missing,missing,missing
285,no,missing,missing,missing,missing
286,si, trab. de los servicios y vend. de comercios y mercados, comercio,como dueÑo o patron de empresa o finca o como socio activo,missing
287,missing,missing,missing,missing,missing
288,no,missing,missing,missing,missing
289,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como jornalero o peon,missing
290,no,missing,missing,missing,missing
291,si, operarios y artesanos de artes mecanicas y otros oficios," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
292,no,missing,missing,missing,missing
293,missing,missing,missing,missing,missing
294,missing,missing,missing,missing,missing
295,no,missing,missing,missing,missing
296,missing,missing,missing,missing,missing
297,no,missing,missing,missing,missing
298,si, agricultores y trab. calificados agropecuarios y pesqueros," transporte, almacenamiento y comunicaciones",trabajador por su cuenta o en su finca,missing
299,no,missing,missing,missing,missing
300,missing,missing,missing,missing,missing
301,no,missing,missing,missing,missing
302,no,missing,missing,missing,missing
303,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
304,no,missing,missing,missing,missing
305,missing,missing,missing,missing,missing
306,no,missing,missing,missing,missing
307,no,missing,missing,missing,missing
308,no,missing,missing,missing,missing
309,si, personal directivo de la admon publica y de las empresas," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
310,no,missing,missing,missing,missing
311,missing,missing,missing,missing,missing
312,no,missing,missing,missing,missing
313,si, operarios y artesanos de artes mecanicas y otros oficios, servicios financieros,trabajador por su cuenta o en su finca,missing
314,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
315,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
316,no,missing,missing,missing,missing
317,no,missing,missing,missing,missing
318,no,missing,missing,missing,missing
319,no,missing,missing,missing,missing
320,si, operarios y artesanos de artes mecanicas y otros oficios, comercio,como empleado u obrero de una empresa privada,missing
321,no,missing,missing,missing,missing
322,si," profesionales, cientificos  e  intelectuales", servicios financieros,como empleado u obrero de una empresa privada,missing
323,no,missing,missing,missing,missing
324,si, personal directivo de la admon publica y de las empresas,missing,como empleado de gobierno,missing
325,no,missing,missing,missing,missing
326,no,missing,missing,missing,missing
327,no,missing,missing,missing,missing
328,missing,missing,missing,missing,missing
329,no,missing,missing,missing,missing
330,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,missing
331,no,missing,missing,missing,missing
332,no,missing,missing,missing,missing
333,si, personal directivo de la admon publica y de las empresas, industria manufacturera,como empleado u obrero de una empresa privada,missing
334,missing,missing,missing,missing,missing
335,no,missing,missing,missing,missing
336,no,missing,missing,missing,missing
337,si, operadores de instalaciones y maquinas y montadores," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
338,no,missing,missing,missing,missing
339,no,missing,missing,missing,missing
340,no,missing,missing,missing,missing
341,no,missing,missing,missing,missing
342,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,missing
343,missing,missing,missing,missing,missing
344,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como ayudante o trabajador sin pago en otros sitios,missing
345,missing,missing,missing,missing,missing
346,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
347,missing,missing,missing,missing,missing
348,no,missing,missing,missing,missing
349,no,missing,missing,missing,si
350,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
351,no,missing,missing,missing,missing
352,si, operarios y artesanos de artes mecanicas y otros oficios, servicios financieros,trabajador por su cuenta o en su finca,missing
353,no,missing,missing,missing,missing
354,no,missing,missing,missing,no
355,no,missing,missing,missing,missing
356,si, trab. de los servicios y vend. de comercios y mercados," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
357,si, operadores de instalaciones y maquinas y montadores," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
358,si, trabajadores no calificados, comercio,trabajador por su cuenta o en su finca,missing
359,no,missing,missing,missing,missing
360,no,missing,missing,missing,missing
361,no,missing,missing,missing,missing
362,no,missing,missing,missing,missing
363,missing,missing,missing,missing,missing
364,no,missing,missing,missing,missing
365,no,missing,missing,missing,missing
366,si, operadores de instalaciones y maquinas y montadores," transporte, almacenamiento y comunicaciones",trabajador por su cuenta o en su finca,missing
367,no,missing,missing,missing,missing
368,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
369,no,missing,missing,missing,missing
370,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
371,si, trab. de los servicios y vend. de comercios y mercados, comercio,trabajador por su cuenta o en su finca,missing
372,no,missing,missing,missing,missing
373,si, operadores de instalaciones y maquinas y montadores," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
374,no,missing,missing,missing,missing
375,no,missing,missing,missing,missing
376,no,missing,missing,missing,missing
377,missing,missing,missing,missing,missing
378,missing,missing,missing,missing,missing
379,no,missing,missing,missing,missing
380,si, operadores de instalaciones y maquinas y montadores, comercio,como empleado u obrero de una empresa privada,missing
381,no,missing,missing,missing,missing
382,no,missing,missing,missing,missing
383,si, operarios y artesanos de artes mecanicas y otros oficios," electricidad, gas y agua",como empleado u obrero de una empresa privada,missing
384,no,missing,missing,missing,missing
385,9.0, ocupacion no especificada, organizaciones extraterritoriales,9.0,9.0
386,no,missing,missing,missing,missing
387,missing,missing,missing,missing,missing
388,no,missing,missing,missing,missing
389,missing,missing,missing,missing,missing
390,no,missing,missing,missing,missing
391,si, empleados de oficina," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
392,no,missing,missing,missing,missing
393,no,missing,missing,missing,missing
394,no,missing,missing,missing,missing
395,no,missing,missing,missing,missing
396,missing,missing,missing,missing,missing
397,no,missing,missing,missing,missing
398,no,missing,missing,missing,missing
399,no,missing,missing,missing,missing
400,no,missing,missing,missing,missing
401,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
402,no,missing,missing,missing,missing
403,si, operarios y artesanos de artes mecanicas y otros oficios," transporte, almacenamiento y comunicaciones",como empleado u obrero de una empresa privada,missing
404,no,missing,missing,missing,missing
405,no,missing,missing,missing,missing
406,missing,missing,missing,missing,missing
407,no,missing,missing,missing,missing
408,no,missing,missing,missing,missing
409,no,missing,missing,missing,missing
410,no,missing,missing,missing,missing
411,no,missing,missing,missing,missing
412,no,missing,missing,missing,missing
413,no,missing,missing,missing,missing
414,si, trabajadores no calificados, industria manufacturera,como empleado u obrero de una empresa privada,missing
415,no,missing,missing,missing,missing
416,si, operarios y artesanos de artes mecanicas y otros oficios, comercio,trabajador por su cuenta o en su finca,missing
417,no,missing,missing,missing,missing
418,missing,missing,missing,missing,missing
419,no,missing,missing,missing,missing
420,no,missing,missing,missing,missing
421,no,missing,missing,missing,missing
422,missing,missing,missing,missing,missing
423,missing,missing,missing,missing,missing
424,no,missing,missing,missing,missing
425,no,missing,missing,missing,missing
426,si, operadores de instalaciones y maquinas y montadores, industria manufacturera,como empleado u obrero de una empresa privada,missing
427,no,missing,missing,missing,missing
428,no,missing,missing,missing,missing
429,no,missing,missing,missing,missing
430,no,missing,missing,missing,missing
431,si, operarios y artesanos de artes mecanicas y otros oficios, comercio,como empleado u obrero de una empresa privada,missing
432,no,missing,missing,missing,missing
433,no,missing,missing,missing,missing
434,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
435,no,missing,missing,missing,missing
436,no,missing,missing,missing,missing
437,no,missing,missing,missing,missing
438,si, empleados de oficina, industria manufacturera,como empleado u obrero de una empresa privada,missing
439,no,missing,missing,missing,missing
440,no,missing,missing,missing,missing
441,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
442,si, personal directivo de la admon publica y de las empresas," transporte, almacenamiento y comunicaciones",como empleado de gobierno,missing
443,no,missing,missing,missing,missing
444,no,missing,missing,missing,missing
445,missing,missing,missing,missing,missing
446,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,trabajador por su cuenta o en su finca,missing
447,no,missing,missing,missing,missing
448,no,missing,missing,missing,missing
449,no,missing,missing,missing,missing
450,no,missing,missing,missing,missing
451,missing,missing,missing,missing,missing
452,no,missing,missing,missing,missing
453,missing,missing,missing,missing,missing
454,no,missing,missing,missing,missing
455,no,missing,missing,missing,missing
456,no,missing,missing,missing,missing
457,no,missing,missing,missing,missing
458,no,missing,missing,missing,missing
459,no,missing,missing,missing,missing
460,no,missing,missing,missing,missing
461,missing,missing,missing,missing,missing
462,no,missing,missing,missing,missing
463,missing,missing,missing,missing,missing
464,no,missing,missing,missing,missing
465,no,missing,missing,missing,missing
466,si, operarios y artesanos de artes mecanicas y otros oficios, comercio,como empleado u obrero de una empresa privada,missing
467,no,missing,missing,missing,missing
468,no,missing,missing,missing,missing
469,no,missing,missing,missing,missing
470,no,missing,missing,missing,missing
471,si, operadores de instalaciones y maquinas y montadores, industria manufacturera,trabajador por su cuenta o en su finca,missing
472,no,missing,missing,missing,missing
473,no,missing,missing,missing,missing
474,no,missing,missing,missing,missing
475,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,trabajador por su cuenta o en su finca,missing
476,no,missing,missing,missing,missing
477,no,missing,missing,missing,missing
478,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
479,no,missing,missing,missing,missing
480,no,missing,missing,missing,missing
481,no,missing,missing,missing,missing
482,si, empleados de oficina, comercio,como empleado u obrero de una empresa privada,missing
483,no,missing,missing,missing,missing
484,si, empleados de oficina, comercio,como empleado u obrero de una empresa privada,missing
485,no,missing,missing,missing,missing
486,no,missing,missing,missing,missing
487,si, operarios y artesanos de artes mecanicas y otros oficios, comercio,como empleado u obrero de una empresa privada,missing
488,no,missing,missing,missing,missing
489,no,missing,missing,missing,missing
490,no,missing,missing,missing,missing
491,si, trabajadores no calificados, construccion,como jornalero o peon,missing
492,no,missing,missing,missing,missing
493,no,missing,missing,missing,missing
494,no,missing,missing,missing,missing
495,no,missing,missing,missing,missing
496,no,missing,missing,missing,missing
497,no,missing,missing,missing,missing
498,no,missing,missing,missing,missing
499,no,missing,missing,missing,missing
500,no,missing,missing,missing,missing
501,no,missing,missing,missing,missing
502,no,missing,missing,missing,missing
503,no,missing,missing,missing,missing
504,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
505,no,missing,missing,missing,missing
506,no,missing,missing,missing,missing
507,no,missing,missing,missing,missing
508,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
509,no,missing,missing,missing,missing
510,missing,missing,missing,missing,missing
511,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",trabajador por su cuenta o en su finca,missing
512,no,missing,missing,missing,missing
513,no,missing,missing,missing,missing
514,si, agricultores y trab. calificados agropecuarios y pesqueros," agricultura, ganaderia, caza y pesca",como dueÑo o patron de empresa o finca o como socio activo,missing
515,no,missing,missing,missing,missing
516,no,missing,missing,missing,missing
517,no,missing,missing,missing,missing
518,no,missing,missing,missing,missing
519,no,missing,missing,missing,missing
520,si, trab. de los servicios y vend. de comercios y mercados, administracion publica y defensa,como empleado de gobierno,missing
521,no,missing,missing,missing,missing
522,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
523,si, trab. de los servicios y vend. de comercios y mercados, comercio,como empleado u obrero de una empresa privada,missing
524,no,missing,missing,missing,missing
525,no,missing,missing,missing,missing
526,si, trab. de los servicios y vend. de comercios y mercados, enseÑanza,como empleado u obrero de una empresa privada,missing
527,no,missing,missing,missing,missing
528,no,missing,missing,missing,missing
529,missing,missing,missing,missing,missing
530,si," profesionales, cientificos  e  intelectuales", servicios financieros,trabajador por su cuenta o en su finca,missing
531,no,missing,missing,missing,missing
532,no,missing,missing,missing,missing
533,no,missing,missing,missing,missing
534,no,missing,missing,missing,missing
535,no,missing,missing,missing,missing
536,no,missing,missing,missing,missing
537,no,missing,missing,missing,missing
538,no,missing,missing,missing,missing
539,no,missing,missing,missing,missing
540,no,missing,missing,missing,missing
541,no,missing,missing,missing,missing
542,missing,missing,missing,missing,missing
543,no,missing,missing,missing,missing
544,si, operadores de instalaciones y maquinas y montadores, construccion,como empleado u obrero de una empresa privada,missing
545,no,missing,missing,missing,missing
546,missing,missing,missing,missing,missing
547,no,missing,missing,missing,missing
548,no,missing,missing,missing,missing
549,no,missing,missing,missing,missing
550,no,missing,missing,missing,missing
551,no,missing,missing,missing,missing
552,missing,missing,missing,missing,missing
553,no,missing,missing,missing,missing
554,no,missing,missing,missing,missing
555,missing,missing,missing,missing,missing
556,no,missing,missing,missing,missing
557,no,missing,missing,missing,missing
558,no,missing,missing,missing,missing
559,missing,missing,missing,missing,missing
560,no,missing,missing,missing,missing
561,no,missing,missing,missing,missing
562,missing,missing,missing,missing,missing
563,no,missing,missing,missing,missing
564,si, operarios y artesanos de artes mecanicas y otros oficios, industria manufacturera,como empleado u obrero de una empresa privada,missing
565,no,missing,missing,missing,missing
566,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,como empleado u obrero de una empresa privada,missing
567,no,missing,missing,missing,missing
568,no,missing,missing,missing,missing
569,no,missing,missing,missing,missing
570,no,missing,missing,missing,missing
571,no,missing,missing,missing,missing
572,no,missing,missing,missing,missing
573,no,missing,missing,missing,missing
574,si, operarios y artesanos de artes mecanicas y otros oficios, construccion,trabajador por su cuenta o en su finca,missing
575,no,missing,missing,missing,missing
576,missing,missing,missing,missing,missing
577,missing,missing,missing,missing,missing
578,missing,missing,missing,missing,missing
579,no,missing,missing,missing,missing
580,no,missing,missing,missing,missing
581,missing,missing,missing,missing,missing
582,no,missing,missing,missing,missing
583,no,missing,missing,missing,missing
584,no,missing,missing,missing,missing
585,no,missing,missing,missing,missing
586,no,missing,missing,missing,missing
587,no,missing,missing,missing,missing
588,no,missing,missing,missing,missing
589,no,missing,missing,missing,missing
590,missing,missing,missing,missing,missing
591,no,missing,missing,missing,missing
592,no,missing,missing,missing,missing
593,no,missing,missing,missing,missing
594,no,missing,missing,missing,missing
595,no,missing,missing,missing,missing
596,missing,missing,missing,missing,missing
597,no,missing,missing,missing,missing
598,no,missing,missing,missing,missing
599,no,missing,missing,missing,missing
600,si, trab. de los servicios y vend. de comercios y mercados, industria manufacturera,como empleado u obrero de una empresa privada,missing
601,no,missing,missing,missing,missing
602,no,missing,missing,missing,missing
603,no,missing,missing,missing,missing
604,si," profesionales, cientificos  e  intelectuales", organizaciones extraterritoriales,como empleado u obrero de una empresa privada,missing
605,no,missing,missing,missing,missing
606,missing,missing,missing,missing,missing
607,missing,missing,missing,missing,missing
608,no,missing,missing,missing,missing
609,no,missing,missing,missing,missing
610,si, tecnicos y profesionales de nivel medio," servicios de salud, sociales y personales",como empleado u obrero de una empresa privada,missing
611,no,missing,missing,missing,missing
612,si, empleados de oficina, servicios financieros,como empleado u obrero de una empresa privada,missing
613,no,missing,missing,missing,missing
614,no,missing,missing,missing,missing
615,no,missing,missing,missing,missing
616,missing,missing,missing,missing,missing
617,missing,missing,missing,missing,missing
618,no,missing,missing,missing,missing
619,no,missing,missing,missing,missing
620,si," profesionales, cientificos  e  intelectuales", enseÑanza,como empleado de gobierno,missing
